,sentence,val
599,", dans &quot; Le lopu - garou et l' agneau &quot; dans quelle mesure peut ér parodié parodié §",6
600,"dirs &quot; &quot; Parodier , c' est déplacer un certain cadre générique pour mieux oblige à une double posture impose contradictoire : Dans le geste parodique apparaît s' on s' impose des contraintes de textualisation , , qu' on déplace e , , tout à la fois . §",21
601,"L' essence du parodique réside dans ce déplacement , socio - pragmatique ou socio - historique . §",2
602,"Souvent , une parodie il , qui aboutit souvent à un effet d' hybridation générique , comme ici . §",3
603,"En tout cas , plus il y a déplacement , plus le cadre générique est suverti , plus la parodie est comique . §",7
604,le potentiel comique est important . §,4
605,"grande est la subversion , plus grand est le potentiel comique . §",1
606,"Toutefois , malgré un certain cadre générique subsiste - double en cas d' hybridation - subsiste : la parodie subvertit l un genre , mais ne l' annihile pas . §",13
607,"Au contraire , elle fait apparaître , par le détour de l' humour , en révèleles traits caractéristiques , . §",4
608,"paradoxale grossit le trait : elle détourne ostensiblement , en révèle , par le détout de l' humour r , les spécificité stylistiques . §",7
609,Elle . §,2
610,"La parodie , comme le pastique , apparaît à cet égard comme un exer En ce sens , Ainsi , En un certain sens , la parodie , comme le pastiche , participe de l' exercice de style : , ce jeu littéraire qui fait tourne la contrainte : elle obéit à un certain nombre de contraintes , s' approprie dont elle fait t , et en un lieu de création et de virtuosité . §",20
611,verbales . §,1
612,INSERTION DU TEXTE PASTICHÉ : §,0
613,LE CHEVALIER DE LA CHARETTE ( CHRÉTIEN DE TROYES ) TEXTE À L' INTENTION DE MARIE DE CHAMPAGNE - - §,5
614,INSERTION DU PASTICHE : §,2
615,CHOIX DU PASTICHE ( LA NOTICE D' INFORMATION / D' UTILISATION ) - INSERTION DE L' ANALYSE : §,3
616,"( DÉFINITION S DES NOTIONS / GENRES , ORGANISATION DU TEXTE , NOTIONS DU TEXTE , PLAN DU TEXTE ) * §",5
617,( * JUSTIFICATION DU GENRE PASTICHE CHOISI : EXPLICATION DU GENRE / APPARTENANCE ; PERTINENCE AVEC LE TEXTE ORIGINAL ) §,5
618,( * EXPLIQUER LES CARACTÉRISTIQUES PRÉCISES ET LOINTAINES DU GENRE CHOISI I : CONDITIONS DE FAISABILITÉ ET ÉNONCIATION ) §,5
619,APPARTENANCE : VOCABULAIRE & LEXIQUE : §,2
620,COMMENT RENCONNAÎTRE QU' IL S' AGIT BIEN DE ' UN GENRE EN PARTICULIER §,1
621,( * JUSTIFICATION DE L' ULTILISATION DU PASTICHE : §,2
622,"CE QUE L' ON A GARDÉ , CE QUE L' ON A SUPPRIMÉ ; POURQUOI ) §",2
623,"Le texte que nous avons choisi d' étudier est un poème de Guillaume de Poitier , Duc d' Aquitaine . §",1
624,Il est daté entre 1100 et 1124 . §,2
625,"Il s' agit l à d' un parfait exemple de l' amour courtois , une tradition médiévale , très représentée dans le e commencement de la littérature en langue &quot; française &quot; . §",3
626,&quot; §,1
627,"&quot; Par sa joie , ma Dame peut guérir r , par sa colère elle peut tuer . §",1
628,"Par elle , le plus sage peut tomber dans la folie , le plus beau perdre sa beauté . §",3
629,Le plus courtois devenir un rustre et le plus rustre devenir courtois . §,1
630,"Puisqu' on ne peut en trouver de plus noble , ni en voir de plus belle , ni même en entendre parler , je la veux pour moi seul , pour que mon coeur y trouve fraîcheur , ma chair nouveauté , sans plus jamais vieillir . §",6
631,"Si ma Dame veut bien son amour donner , je suis prêt à la prendre et à rendre grâce . §",3
632,", et à le cacher et à le clâmer , et pour son plaisir , dire et faire a , et ce qui a tant de prix le chérir , et pour sa louange m' élancer . §",5
633,"s Pour la réalisay tion du pastiche , nous avons choisi de prendre le modèle de la notice d' explication : §",2
634,NOTICE EXPLICATIVE : §,1
635,COMMENT ATTESTER DE L' AMOUR COURTOIS DANS LE RÉCIT CHEVALERESQUE . §,1
636,"Il est indispensable que ces condtions soient respectées avec soin , de manière aussi complète que possible . §",2
637,"À cet effet , vous pouvez vous aider de votre expérience personnelle . §",2
638,"Il convient de joindre au récit des PREUVES , des détails précis . §",2
639,"Conservez vos originaux , il peuvent d' ailleurs vous être utiles . §",1
640,Tout changement dans la situation du personnage doit être siganlé au lecteur le plus rapidement possible . §,2
641,"Certains détails sont adressés e n recommandé , il est important que vous en preniez connaissance dans les meilleurs délais . §",5
642,Nous vous précisions également que la procédure de lecture est gratuite . §,0
643,NOUS ATTIRONS VOTRE ATTENTION SUR LE FAIT QUE L' AMOUR COURTOIS DANS LE RÉCIT CHEVALERESQUE SE CARACTÉRISE PAR : - §,3
644,"La présence d' une femme muse ; en effet , celle - ci doit IMPÉRATIVEMENTT figurer dans le récit sous peine de hors - sujet . §",3
645,Elle doit être le centre de l' histoire . §,1
646,Elle doit pouvoir exercer un &quot; pouvoir de domination &quot; sur l' homme qui la convoite . §,3
647,"Par ses joies , par ses colères , elle a le droit de vie ou de mort sur lui . §",3
648,La femme doit obligatoirement être la raison des maux et des bonheurs de son amant . §,1
649,La femme muse doit détenir une valeur curative ; elle fait la santé de l' homme amoureux . §,7
650,"Em lle doit avoir la caractéristique de le changer , que ce soit en homme courtois ou en rustre . §",2
651,La femme et l' amour qu' elle porte doivent avoir un une valeur de médecine . §,3
652,"L' amour doit offrir la vitalité , la jeunesse éternelle . §",2
653,L' homme amoureux doit voir en cette femme l' incarnation de son salut . §,3
654,Il ne doit voir qu' elle et doit toujours l' élever à un rang plus haut que le sien . §,0
655,"Pour que cet amour perdure , un l' homme doit se mettre sur un rang inférieur à celui de celle qu' il désire . §",4
656,Il faut que la convoitise résonne avec l' égoisme . §,1
657,L' homme doit vouloir la femme pour lui et juste pour lui . §,1
658,"Dans le cadre où la femme accpete de donner son amour à l' homme , il faut que celui - ci lui rende grâce . §",1
659,Il doit élever une fois de plus le statut de la femme au - dessus du sien . §,1
660,L' homme doit pouvoir aimer sa promise bien - aimée secrètement en soiciété et pleinement dans le cadre privé . §,2
661,La discrétion de leur relation doit être égale à la dévotion de l' homme envers sa promise . §,1
662,"Enfin , il est nécéssaire que le contentement de la femme aimée soit la seule récompense . §",2
663,"Avant de justifier le choix de la notice explicative afin de pasticher le texte de Guillaume de Poitiers , nous définirons d' abord quelques notions . §",2
664,"Parmi elles , la notion de genre , très importante . §",0
665,Le genre se définit comme étant un texte qui s' inscrit dans les pratiques sociales . §,1
666,On veut dire par là qu' il est d' abord le résultat d' un jugement de valeurs . §,1
667,Son usage est influencé par ce qui l' entoure . §,1
668,"Le genre c' est d' abord la continuité d' un texte , un texte lié par un assemblage de mots et de phrases ayant pour but de former une connexion syntaxique . §",5
669,"On va d' ailleurs parler de genre dans le sens où le texte n' est plus &quot; isolé &quot; , il va devenir un produit qui peut être compris , analysé et reproduit . §",5
670,"Le genre amène directe ment à la question du caractère , de la propriété . §",2
671,Il est issu de la communication et celle - ci est s' inscrit dans les pratiques sociales . §,2
672,Le discours et la cohérence de celui - ci permetttent d' encadrer le genre dans divers classements . §,1
673,"Le genre a véritablment une valeur identitaire , puisqu' il va permettre de d' identifier . §",2
674,"On va être en mesure de discerner grâce à lui une appartenance , une forme due à l' inventaire d' un nombre de critères donnés &quot; &quot; . §",3
675,On va également mettre en lumière la notion de format . §,0
676,"À travers celle - ci , c' est véritablement la mise en page qui est visée . §",2
677,On va parler de format par exemple pour les articles de presse . §,0
678,On sait qu' un texte esr un article de presse avant tout grâce à sa mise en page . §,1
679,Ainsi le format d' écriture apparait comme le produit visuek visuel organisé paun un système . §,4
680,"Et si produit visuel il y a est , forcément cela va nous renvoyer à l' image que celui - ci renvoie . §",2
681,"Une fois encore , il s' inscrit dans la pratique sociale . §",1
682,"Ce format va comprendre les termes de police , de numérisation , des outils qui évoluent avec le temps et qui sont plus ou moins liés au genre . §",2
683,"Ainsi donc , nous avons choisi de réaliser notre pastiche à l' aide de la notice . §",0
684,C' est un mot qui est soumis à diverses interprétations . §,1
685,"Par exemple d' aucuns pensent qu' il s' agit dun écrit succinct sur un sujet déterminé , d' autres encore pensent qu' il est le produit de renseignements sur l' aueteur et l' oeuvre donnés en préface à un ouvrage . §",5
686,"Maisla définition la plus commune est de cette notice fait état d' un livret groupant l' ensemble des indications relatives à la construction , à l' entretien ainsi qu' à l' installation d' une machine , d' un appareil ou d' une installation . §",7
687,"La notice étant un genre à part entière , elle fait partie de la catégorie des textes ayant pour but une fonction injonctive mais aussi didactique ; . §",5
688,"En effet , la finalité de ce texte étant de guider mais également de &quot; donner les moyens d' agir &quot; , peut aussi renseigner ou encore permettre de faire comprendre . §",4
689,Il est désormais temps de justifier le choix du texte pastiché . §,0
690,Nous avons choisi un poème du XIIème siècle . §,2
691,"Co poème s' inscrit dans une tradition médiévale bien connue , il s' agit de l' amour courtois . §",1
692,"Cet amour courtois , nous l' aon vons légèrement décrit dans le pastiche , il met en scène un couple , un homme et une feme me dans une relation inégale . §",6
693,L' homme dans cette relation se doit de placer la femme au - dessus de son propre statut et il agit afin qu' elle puisse le posséder . §,1
694,"Cet amour courtois a souvent été associé au récit chevaleresque qui présente souvent un héros en partance pour une quête , qu' il s' agisse de prouesses ou encore de recherche de la femme aimée . §",2
695,"À travers le poème , c' est véritablment un hymne à l' amour qu' effectue Guillaume de Poitiers . §",3
696,J' ai trouvé intéressant de croiser la notice avec ce genre de poème car celui - ci se reconnait très facilement . §,2
697,"L' amour courtois est très identifiable et j' ai pensé que l' associer à une notice explicative accorderait au pastiche une valeur comique inédite , dans le sens où l' on servait une sorte d' indication infaillible de l' amour . §",4
698,On aurait très bien pu appeler ce pastiche &quot; Les 1001 façons d' aimer au Moyen - Âge &quot; ou encore &quot; La reation sentimentale dans les moeurs médiévales &quot; . §,3
699,Il faut vraiment mettre en avant le côté comique du pastiche qui est symbolisé par la standardisation du plus fort des sentiments ; l' amour . §,0
700,"Le poème appartienyt à la catégorie des textes rhétoriques , il a pour finalité de créer un effet esthétique , de susciter l' émotion . §",2
701,"Il peut s' encadrer dans un certain contexte , on veut par là dire que souvent le poème est issu de l' expérience personnelle de celui qui l' écrit . §",2
702,Le poème est souvent un genre subversif . §,0
703,Il permet à travers vers la figure esthétique de délivrer un message . §,3
704,"On parle ici de la peine , de la joie , de la souffrance et de l' amour . §",1
705,Le poème est encadré par des vers . §,1
706,"Il a donc un format prédéfini , il est soumis à un code . §",2
707,"On va avoir le ver libre , le ver discontinu . §",2
708,"L' unité métrique va permettre d' analyser le texte et va ainsi nous permettre de rattacher celui - ci à une catégorie particulière ; la chanson , l' épopée , ou encore l' élégie . §",3
709,"Avec le poème on va trouver des figures de styles , des particularités qui lorsqu' elles s' ajoutent aux vers vont donner au texte cette émotion , cette singularité qui permet au poème d' avoir une identité propre . §",2
710,"On pense aux allitérations , aux assonances , les figures d' images ou encore les jeux sur les mots . §",4
711,Le poème sert à décrire ce qui est important comme ce qui est insignifiant . §,1
712,"Quelques fois il ne sert même à rien , si ce n' est à s' exprimer . §",1
713,"Il peut faire l' éloge du bon comme du mauvais , du beau comme du laid . §",1
714,Il peut critiquer l' amour et louer la haine . §,2
715,"Dans le poème d' amour courtois par exemple , la femme est conductrice de l' inspiration . §",1
716,"Elle est la source de l' écriture , on y remarque aussi la présence de nombreux décamètres . §",3
717,"L' état mental comme physique de l' homme amoureux , dépend de l' affection et du regard que la femme lui donne . §",1
718,Ce sont des facteurs d' identification . §,0
719,"Le poème d' amour courtois est identifiable bien évidemment par la langue dans laquelle il est écrit , pour un souci de compréhension , nous avobs traduit le poème en français moderne . §",1
720,"Ce qui fait que le lexique a été actualisé , nous avons changé quelques mots , nous avons effectué des corrections sur l' orthographe n , ce que l' on retrouve dans le pastiche éffectué , c' est avant tout un concept ; celui de la femme aimée toute puissante , celui de l' homme amoureux capable de tout pour celle qu' il aime et mais qui est cependant à complète merci . §",3
721,"Je pense que le poème d' amour courtois irait aussi parfaitement avec le genre de la recette , mais on peut aussi le retrouver avec le genre de l' encyclopédie . §",1
722,Cela apporterait une fonction novatrice . §,0
723,"Ce que nous avons réellement cherché ici c' est l' humour , par le détournement d' une des traditions littéraires les plus nobles . §",1
724,5 ) BIBLIOGRAPHIE §,2
725,"( ADAME Jean - Michel , HEID MANN Ute , 2004 , Des genres à la généricité ) ( Essais de linguistique générale - 1960 ) Roman Jakobson Speech Genre and Other Late Essays ( 1979 ) Mikhail Bakhtine §",16
726,"Dans l' Analyse de discours , fait une distinction entre type de discours et genre de discours . §",0
727,"Selon lui dans le cas du genre &quot; ce n' est pas au discours politique ou religieux en général qu' a affaire le destinataire , mais à des textes qui relèvent de genres particuliers , historiquement définis , rapportantes à des lieux de l' énonciation déterminés . &quot; §",0
728,"&quot; Ces trois éléments ( contenu thématique , style et construction compositionnelle ) fusionnent indissolublement dans le tout que constitue l' énoncé , et chacun d' eux est marqué par la spécificité d' une sphère d' échange . §",0
729,"Tout énoncé pris isolément est , bien entendu , individuel , mais chaque sphère d' utilisation de la langue élabore ses types relativement stables d' énoncés , et c' est ce que nous appelons les genres du discours . &quot; §",0
730,"C' est ainsi que BAKHTINE , Mikhail défini le genre en linguistique . §",0
731,"Selon lui , chaque énoncé est composé de en fonction de son sujet . §",0
732,"Sa forme , son contenu et les éléments linguistiques qui vont le composer vont être choisit pour mettre en avant l' idée que doit faire passer le texte . §",0
733,"Ainsi , chaque énoncé scientifique va se présenter de la même manière qu' un autre car les deux auteurs auront la même envie de faire comprendre leur intention par la forme de leur texte . §",0
734,"Qui plus est , ces deux scientifiques évoluent dans la même sphère de langage et de réflexion . §",0
735,"Les scientifiques sont habituer a utiliser un vocabulaire qui leur est propre , ainsi qu' une certaine manière de réfléchir . §",0
736,Tous ces éléments vont donc se refléter dans un texte scientifique qui est souvent écrit pour d' autres scientifique qui connaissent eux aussi ces codes . §,0
737,C' est de cette manière que les genres se mettent en place et se figent . §,0
738,Le genre du pastiche est un genre bien à part car il repose sur le détournement d' autre genre . §,0
739,Il s' appuie en général sur le style et la construction compositionnelle d' un genre tout en changeant le contenu thématique pour le détourner . §,0
740,"Selon la définition de Bakhtine , il est une sorte de contre - genre car la forme que prend se discours ne doit pas être aligné sur le fond . §",0
741,"Au contraire , c' est le décalage entre la fond et la forme qui fait que le message du locuteur se transmettra au locataire . §",0
742,"Toutefois , comme dans n' importe quel genre , le locataire et le locuteur doivent avoir les mêmes connaissances et habitudes en terme de genre . §",0
743,"Si le locuteur pastiche un fairepart de naissance par exemple mais que le locutaire n' a jamais lu de fairepart de naissance , la compréhension ne se fera pas et le pastiche n' aura pas atteint son but . §",0
744,Ainsi ce genre demande que le locuteur et le locutaire est les mêmes schémas compositionnels et linguistiques concernant les genres . §,0
745,"Pour faire un pastiche , il faut donc étudier la construction linguistique et compositionnelle d' un genre en particulier , comprendre comment le texte est construit pour mettre en avant sa signification . §",0
746,Puis il faut prendre certain de ces éléments pour les détourner sans toutefois changer le gros de la structure pour que le locutaire puisse reconnaitre le genre d' origine pastichié . §,0
747,"Dans cet exemple , nous allons pasticher une annonce de vente d' un appartement . §",0
748,tout d' abord nous allons mettre en avant les traits définitoires de ce genre puis nous allons voir sur quels traits nous avons travailler pour créer le pastiche . §,0
749,Le genre de l' annonce a pour but de vanter les mérites d' un objet et d' annoncer sa mise en vente . §,0
750,"Elles doivent le décrire et mettre en avant toutes ses caractéristiques principales , annoncer son prix de vente , la date et le lieu de la vente , donner le nom du vendeur et / ou de la personne responsable de la vente . §",0
751,"Ce genre est principalement utilisé dans une sphère économique qui inclus une relation de vendeur et d' acheteur , le locuteur étant le vendeur et le locutaire un acheteur potentiel . §",0
752,La fonction principale de ce genre est de mettre en avant des objets tout en restant objectif dans sa description . §,0
753,"L' objet vendu est donc bien au centre de l' annonce , il en est le sujet principal . §",0
754,Dans l' annonce on trouve une description précise des caractéristiques de l' objet . §,0
755,Le vocabulaire utilisé va donc dépendre de l' objet vendu . §,0
756,Parfois le locuteur va utiliser un vocabulaire très particulier pour le décrire l' objet avec précision . §,0
757,"S' il s' agit d' une enceinte , le vendeur va parler avec un vocabulaire très technique de sa puissance par exemple . §",0
758,Le texte vise donc à convaincre ( et non à persuader ) le locutaire à acheter l' objet mis en vente en présentant l' objet de manière objective . §,0
759,"Dans notre cas , le médium utilisé pour l' annonce est le web mais les annonces peuvent se trouver un peu partout , dans les journaux , dans la rue , sur des affichages publiques etc . §",0
760,"Le type de discours utilisé ici est donc descriptif : on peut voir que le texte met en avant les dimensions de l' appartement , sa localisation , son nombre de chambre etc . §",0
761,"Tout cela reste donc très factuel , nous avons une succession de d' information qui permettent de se faire une idée sur l' appartement . §",0
762,"Cependant , on peu bien voir que certaines données sont mise en avant par la structure de l' annonce . §",0
763,"Ainsi le nombre de pièces de l' appartement est bien mis en avant par des caractères plus gros et mis en gras , ainsi que certaines pièces comme la terrasse et la cave . §",0
764,"La superficie , le prix et le nom de l' avocat sont aussi des informations bien mise en avant par une mise en gras . §",0
765,"L' annonce en elle même est très structuré pour faire un sorte que le regard ne se perde pas , le locutaire ne doit pas a avoir a chercher les informations , il faut qu' elles soient lisibles très rapidement . §",0
766,"C' est pour ça que la mise en page est centrée , comme cela le locutaire n' a qu' a regardé au milieu de l' annonce sans avoir a chercher les informations a droite ou a gauche de la page . §",0
767,Des sauts de pages permettent d' aérer la page et de ne pas paraitre agressif ou trop brouillon pour une lecture rapide . §,0
768,"Tout est mis en place dans la structuration du texte pour une lecture rapide et simple , permettant même une lecture en diagonale au locutaire . §",0
769,"La succession de données factuelles donnent une impression d' objectivité au texte , mais sa mise en page permet de mettre en avant les points essentiels qui vont attirer les acheteurs potentiel . §",0
770,Des liens sont présent comme parapente pour que le locutaire puisse aller sur d' autres pages pour avoir plus de renseignement sur l' appartement mis en vente . §,0
771,"Dans la plupart des annonces , les phrases utilisées sont assertives et averbales pour la grande majorité &quot; Visite sur place mercredi 16 novembre 2016 de 10h à 12h &quot; . §",0
772,La seule exception faite est la phrase &quot; Le cahier des conditions de vente est déposé au Greffe du Juge de l' Exécution du TGI de Paris et au Cabinet de l' Avocat poursuivant où il peut être consulté &quot; . §,0
773,"Le but étant de donner des informations , les phrases utilisées sont rarement interrogatives ou exclamatives . §",0
774,"Qui plus est , le locutaire n' étant pas une personne vraiment déterminer , l' annonce s' adressant à tout le monde , l' utilisation d' une phrase injonctive est très rare . §",0
775,ÉNONCIATION §,0
776,"appareil formel de l' énonciation , temps verbaux , modalités §",0
777,Nous sommes ici dans un échange entre un locuteur qui est le vendeur et un locutaire qui peut être n' importe qui car les annonces sont bien souvent en libre accès . §,0
778,On peut voir ici que la dimension modale de l' énonciation est mis de coté . §,0
779,"En effet , la position d' énonciation du locuteur n' est jamais visible , on reste dans une dimension référentielle de l' énonciation . §",0
780,On peut noter une absence de pronoms personnels et la présence de modalité aléthique . §,0
781,LEXICO - SÉMANTIQUE §,0
782,"Dans cette annonce , le lexique appartient au champs de la vente , juridique et du bâtiment . §",0
783,"Ainsi on a des unités de mesure , des noms de pièces , des prix , des spécifiés judiciaires . §",0
784,"lexique , figures , etc . §",0
785,Pour construire le pastiche il a fallu trouver un nouvel objet à vendre . §,0
786,"Pour pouvoir ré - utiliser le lexique présent dans notre texte - source , nous avons choisit la Grèce , qui est facilement comparable a un appartement car il s' agit là aussi d' un lieu habitable . §",0
787,"Bien que le sujet ne soit plus trop d' actualité , la Grèce a pendant longtemps un sujet de discorde pour les pays de l' Union Européenne . §",0
788,Fallait -il ou non faire sortir ce pays de l' Union Européenne ? §,0
789,C' est en partant du principe que l' Union Européenne voulait se débarrasser de la Grèce j' ai écris ce pastiche . §,0
790,J' ai donc écris une annonce indiquant que l' Union Européenne cherchait a vendre la Grèce pour évacuer le problème et les discordes que cette situation créait . §,0
791,J' ai donc créer une pastiche d' annonce de vente d' appartement en créant une annonce de vente de la Grèce . §,0
792,"Pour ce faire , j' ai essayé de reproduire au mieux la structure de l' annonce d' origine . §",0
793,"Le texte est centré , les informations principales sont en gras et parfois en caractère plus important notamment le nombre de pièce ou bien le prix de vente . §",0
794,"Le lexique du commerce et juridique est utilisé dans notre pastiche , ainsi on peut retrouver des institutions de vente ainsi que des termes juridiques . §",0
795,Cependant le lexique du bâtiment est aussi complété par un lexique géographique . §,0
796,Ainsi les unités de mesure prennent une importance démesuré . §,0
797,"J' ai du ajouter un lexique propre à l' Union Européenne , Pour mettre en avant le coté humoristique j' ai essayer de préserver le ton objectif sur l' ensemble de l' annonce . §",0
798,"Parler de vendre un pays dans des termes cliniques , sans y transposer aucun sentiment donne un coté humoristique à la chose . §",0
799,Dominique Main gueneau . §,3
800,Il mets ainsi en avant que ce n' est pas seulement le sens du texte qui est important dans la notion de genre d' un discours . §,2
801,Pour lui cela implique aussi de se soucier des &quot; lieux de l' énoncitation &quot; c' est à dire de la manière dont l' énoncé est présenté et qui il met en relation . §,3
802,"Dans ce pastiche , l e ton objectif du texte source a été supprimé . §",5
803,"Étant donné que le pastiche est un genre de texte engagé , ici le ton abjectif de l' annonce est remplacé par un ton subjectif comme le montre l' utilisation de &quot; mot &quot; de valeur comme . §",3
804,. §,0
805,. §,0
806,o modaliées §,2
807,"Cette non - objectivité passe par l ' utilisation de nom commun pour former un nom propre , servant à mettre en place un jeu de mot . §",4
808,"Pour rendre cette non - objectivité encore plus frappante , le ' objectivité de l' annonce est quand même respécté dans certains syntagmes comme . §",6
809,. §,0
810,. §,0
811,é e en grande partie §,3
812,"Sauf que dans ce cas , le texte n' est pas lisible par le locutaire en diagonale . §",4
813,"En effet , les informations misent en gras permet d' accrocher son int erêt . §",2
814,. §,0
815,. §,0
816,"On a des phrases adverbiales qui implique une &quot; participation &quot; du locutaire , un effort de compréhension de sa part . §",3
817,"Il doit mobiliser ses facultés de compréhension et prendre part a la construction du texte , contrairement à son peu de participation lors de la lecture d' une véritable annonce . §",4
818,t au discours ré e §,4
819,"Dans ce texte , le locuteur n' est plus un simple vendeur , il s' agit d' une personne qui ne plus donne une description d' un objet qu' elle souhait vendre , mais d' une personne qui décrit un objet pour mettre en avant une idée . §",7
820,"Le locutaire est Le but de ce pastiche reste d' accrocher les locutaires potentiels sur le sujet de l' annonce , même si dans le cas du pastiche , le sujet de l' annonce est un peu plus subtilement exprimé . §",7
821,. §,0
822,Le Le a pour objectif de mettre en avant avant idée sans sans exprimer clairement . §,3
823,"Pour cela , on on un jour qui n' est pas celui du du politique , , genre la d' un un et une construction syntaxique . §",6
824,Le décalage entre le le et la forme du texte va va a un un humoristique créé créé qui renforcé par d' autre effet effet styless que nous allons détailler ici . §,7
825,La La au m reproduit reproduit grande partie pour ce pastiche On On voir quel comme comme l' annonce pour l' appartement . §,4
826,"certain certain ont été modifié pour rendre fifficile d d au de pratiquer avec avec texte une une diagnonale tent tent Comme s' agit de de complexes , souvent , , et et mise en place de ses syt stèmes stèmes de de donc donc que habituellement habituellement le de annonce et et remplacé ce ce montre qu' qu' ne s' agit pas ici d' une vraie annonce annonce §",21
827,ici ici Le type discour reste reste - - Ce Ce a donc une visée pratique pratique vise une finalité car car but e n n est c' c' - à - dire la vente de l' objet sujet de l' annonce . §,11
828,"phrase phrase fait exception est : : dans annoncen indéterminé indéterminé Ensuite en fonction de l' objet vendu vendu on va trouver un vocabulaire spécifique relevant relevant un domaine spécifique : : musique , l' informatique , l' l' etc . §",9
829,pourvoir pourvoir L' d' un vocabulaire de de type va va entrainer u u &quot; du locutaire &quot; &quot; ce dernier doit avoir u u une du destinataire ess ess ils ils sont d' avoir le même univers de référence que le locuteur pour comprendre l' annonce . §,13
830,s s x On On donc rapprocher le genre de l' annonce à la catégorie de genre que Jean Jean Michel Adam met en place essaye essaye définir : : comme les textes qui qui de et comment comment ? §,9
831,&quot; . §,0
832,"Comme Comme dans dans genre qu' qu' définit , on retrouve dans l' l' la présence d' un vocabulaire vocabulaire que le locuteur et le locutaire ont en commun , le texte a a mis place doit dé aboutir aboutir une action ( la vente ) &quot; &quot; d' abord les textes qui rentrent dans la catégorie , en en de leur La La commune de la catégorie est la représentation discursive discursive plus ou moins co co lete ) une transformation d' un état de départ départ , sur injonction , , ou conseil d' un scripteur , par le lecteur lecteur destinataire sur un un du monde ( ( §",20
833,. §,0
834,. §,0
835,) . §,0
836,"&quot; mp mp à visée pratique , , segmentation segmentation qui qui à découper des des , et et locuteur absent absent peu . §",9
837,"Toutefois Toutefois dans le genre que définit Jean Jean Michel Adam , une partie du texte implique implique construction syntaxique qui se rapproche du récit , ce que nous n' avons pas dans le de l' annonce . §",3
838,"cas Qui Qui ai , l' annonce tend a changer l' état de l' objet - sujet est est , faisant passer d' objet en vente à objet vendu . §",3
839,les les ' Toutefois Toutefois Les sont donc à considérer comme des entités discursives à géométrie variable . §,3
840,"Les &quot; cristallisations &quot; linguistiques qui les caractérisent semblent plus saillantes dans les genres discursifs relevant de sphères professionnelles , scientifiques ou techniques ( où ils peuvent faire l' objet d' un enseignement explicite et de normes institutionnelles de production , impliquant un contrôle de conformité ) que dans ceux de la socialisation ordinaire , constitutifs du répertoire discursif commun aux membres d' une même communauté . §",0
841,Ce mode d' être linguistique des genres discursifs traduirait la nature variable des &quot; règles de discours &quot; qui les structurent ainsi que la latitude laissée à l' énonciateur singulier . §,0
842,"Il renvoie à la diversité des conditions socio - institutionnelles de production des genres , c' est - à - dire , en fait , à l' interprétation que l' on peut donner des régularités discursives observables . §",0
843,M §,0
844,. §,0
845,. §,0
846,met en avant que ces genres sont tous sauf fixe &quot; &quot; &quot; §,2
847,&quot; §,0
848,Si dans le cadre s Le genre subit donc les répercutions de règle misent en place dans la société . §,5
849,"Dans un cadre professionnel , où tout est très dépend qui est un univers sociale très reglémenté , les genres discursives vont être beaucoup plus figé . §",2
850,"par des règles de politesse , des structures type de discours ographique types , des relations locuteur - locutaire fixe . §",5
851,s . §,1
852,"Au contraire , dans des cadres moins reglementé du e la société s , le locuteur possède a la liberté de ré - inventer les genres en s' abrogeant de certaines règles structurelles . &quot; &quot; . §",13
853,"Et si le locuteur peut s' abroger des règles , il en va de même pour le locutaire . §",0
854,"Ainsi , le genre est une notion sémantique compliqué e / linguistique à définir car , en dehors de l' apect linguistique , il depend aussi d' un facteur sociétale . §",4
855,si on s' en réfère a la définition Bakhtine t de Mikhail Bakhtine I donc é cepandant la modalité aléthique elle a été totalement laissée de coté . §,8
856,"Dans cette annonce , l' objet mit en vente est évidemment - sujet n' bienpas réelemment mit en vent . §",3
857,"Ainsi , bien que parfois la plupart des éléments descriptifs de l' annonce soit véridique , le cadre entourant cette derni description est remplis d' information fausse . §",8
858,et le fond de cette annonce e Le e l §,5
859,"&quot; des installations sanitaires ( thermes , fontaines ) , des lieux de vies déjà meublé un arrangement de 6_000 îles dont env d' iron 227 habitables . §",4
860,&quot; . §,2
861,"&quot; des installations sanitaires ( thermes , fontaines ) , des lieux de vies déjà meublées ( bien que faiblement ) &quot; . §",7
862,"L' utilisation d' un adjectif de valeur avec une modalité de jugement &quot; bien que faiblement &quot; montre l' implication du locuteur , ce qu se qu' on ne retrouverait jamais dans une véritable annonce . §",2
863,aussi comme dans &quot; Maître Lun - ion Euro - Peine &quot; . §,6
864,"Pour construire ce nom propre , nous avons pris pour exemple la typographie du nom de l' avocat du texte source &quot; Maître Marie - Claude Azan - Bergheimer , &quot; §",4
865,Le nom propre ici est séparé par au niveau du prénom comme du nom par un tiret . §,2
866,"Dans le pastiche , le nom propre construit est lui aussi séparé au niveau du nom et du prénom par des tirets , associant deux brisant un mot nom commun &quot; union &quot; pour formé un I nom propre . §",7
867,", et associant deux nom communs pour en formé un propre pour le nom de famille . §",1
868,La transformation modale de ces noms communs montrent l' implication du locuteur dans son énoncé . §,2
869,"Ce choc entre syntagme mo attitude subjective du locuteur et att une construction qui prône l' objectivité dans le discour , propre au genre de l' annonce de vente , permet finalement de servir le discour du pastiche . §",12
